TravelWeekDay_B03ID,DayID,IndividualID
2,2017010662,2017001650
2,2017010663,2017001650
1,2017010664,2017001650
1,2017010665,2017001650
1,2017010666,2017001650
1,2017010667,2017001650
1,2017010668,2017001650
2,2017010669,2017001651
2,2017010670,2017001651
1,2017010671,2017001651
1,2017010672,2017001651
1,2017010673,2017001651
1,2017010674,2017001651
1,2017010675,2017001651
1,2017010676,2017001652
1,2017010677,2017001652
1,2017010678,2017001652
1,2017010679,2017001652
1,2017010680,2017001652
2,2017010681,2017001652
2,2017010682,2017001652
1,2017010683,2017001653
1,2017010684,2017001653
1,2017010685,2017001653
1,2017010686,2017001653
1,2017010687,2017001653
2,2017010688,2017001653
2,2017010689,2017001653
2,2017010690,2017001654
1,2017010691,2017001654
1,2017010692,2017001654
1,2017010693,2017001654
1,2017010694,2017001654
1,2017010695,2017001654
2,2017010696,2017001654
2,2017010697,2017001655
1,2017010698,2017001655
1,2017010699,2017001655
1,2017010700,2017001655
1,2017010701,2017001655
1,2017010702,2017001655
2,2017010703,2017001655
2,2017010704,2017001656
1,2017010705,2017001656
1,2017010706,2017001656
1,2017010707,2017001656
1,2017010708,2017001656
1,2017010709,2017001656
2,2017010710,2017001656
2,2017010711,2017001657
1,2017010712,2017001657
1,2017010713,2017001657
1,2017010746,2017001662
2,2017010747,2017001662
2,2017010748,2017001662
1,2017010749,2017001662
1,2017010750,2017001662
1,2017010751,2017001662
1,2017010752,2017001662
1,2017010753,2017001663
2,2017010754,2017001663
2,2017010755,2017001663
1,2017010756,2017001663
1,2017010757,2017001663
1,2017010758,2017001663
1,2017010759,2017001663
1,2017010760,2017001664
2,2017010761,2017001664
2,2017010762,2017001664
1,2017010763,2017001664
1,2017010764,2017001664
1,2017010765,2017001664
1,2017010766,2017001664
1,2017010767,2017001665
2,2017010768,2017001665
2,2017010769,2017001665
1,2017010770,2017001665
1,2017010771,2017001665
1,2017010772,2017001665
1,2017010773,2017001665
1,2017010774,2017001666
1,2017010775,2017001666
1,2017010776,2017001666
2,2017010777,2017001666
2,2017010778,2017001666
1,2017010779,2017001666
1,2017010780,2017001666
1,2017010781,2017001667
1,2017010782,2017001667
2,2017010783,2017001667
2,2017010784,2017001667
1,2017010785,2017001667
1,2017010786,2017001667
1,2017010787,2017001667
1,2017010788,2017001668
1,2017010789,2017001668
2,2017010790,2017001668
2,2017010791,2017001668
1,2017010792,2017001668
1,2017010793,2017001668
1,2017010794,2017001668
1,2017010795,2017001669
1,2017010796,2017001669
2,2017010797,2017001669
2,2017010798,2017001669
1,2017010799,2017001669
1,2017000225,2017000036
1,2017000226,2017000036
1,2017000227,2017000036
1,2017000228,2017000036
2,2017000229,2017000036
2,2017000230,2017000036
1,2017000231,2017000036
1,2017000232,2017000037
1,2017000233,2017000037
1,2017000234,2017000037
1,2017000235,2017000037
2,2017000236,2017000037
2,2017000237,2017000037
1,2017000238,2017000037
2,2017000239,2017000038
2,2017000240,2017000038
1,2017000241,2017000038
1,2017000242,2017000038
1,2017000243,2017000038
1,2017000244,2017000038
1,2017000245,2017000038
2,2017000246,2017000039
2,2017000247,2017000039
1,2017000248,2017000039
1,2017000249,2017000039
1,2017000250,2017000039
1,2017000251,2017000039
1,2017000252,2017000039
2,2017000253,2017000040
2,2017000254,2017000040
1,2017000255,2017000040
1,2017000256,2017000040
1,2017000257,2017000040
1,2017000258,2017000040
1,2017000259,2017000040
2,2017000260,2017000041
2,2017000261,2017000041
1,2017000262,2017000041
1,2017000263,2017000041
1,2017000264,2017000041
1,2017000265,2017000041
1,2017000266,2017000041
1,2017000267,2017000042
1,2017000268,2017000042
1,2017000269,2017000042
1,2017000270,2017000042
2,2017000271,2017000042
2,2017000272,2017000042
1,2017000273,2017000042
1,2017000274,2017000043
1,2017000275,2017000043
1,2017000276,2017000043
2,2017000277,2017000043
2,2017000278,2017000043
1,2017010800,2017001669
1,2017010801,2017001669
1,2017010802,2017001670
1,2017010803,2017001670
2,2017010804,2017001670
2,2017010805,2017001670
1,2017010806,2017001670
1,2017010807,2017001670
1,2017010808,2017001670
2,2017010809,2017001671
1,2017010810,2017001671
1,2017010811,2017001671
1,2017010812,2017001671
1,2017010813,2017001671
1,2017010814,2017001671
2,2017010815,2017001671
2,2017010816,2017001672
1,2017010817,2017001672
1,2017010818,2017001672
1,2017010819,2017001672
1,2017010820,2017001672
1,2017010821,2017001672
2,2017010822,2017001672
1,2017010823,2017001673
1,2017010824,2017001673
2,2017010825,2017001673
2,2017010826,2017001673
1,2017010827,2017001673
1,2017010828,2017001673
1,2017010829,2017001673
1,2017010830,2017001674
1,2017010831,2017001674
2,2017010832,2017001674
2,2017010833,2017001674
1,2017010834,2017001674
1,2017010835,2017001674
1,2017010836,2017001674
1,2017010837,2017001675
1,2017010838,2017001675
2,2017010839,2017001675
2,2017010840,2017001675
1,2017010841,2017001675
1,2017010842,2017001675
1,2017010843,2017001675
1,2017010844,2017001676
1,2017010845,2017001676
1,2017010846,2017001676
1,2017010847,2017001676
1,2017010848,2017001676
2,2017010849,2017001676
2,2017010850,2017001676
1,2017010851,2017001677
1,2017010852,2017001677
1,2017010853,2017001677
1,2017000279,2017000043
1,2017000280,2017000043
1,2017000281,2017000044
1,2017000282,2017000044
1,2017000283,2017000044
2,2017000284,2017000044
2,2017000285,2017000044
1,2017000286,2017000044
1,2017000287,2017000044
1,2017000288,2017000045
2,2017000289,2017000045
2,2017000290,2017000045
1,2017000291,2017000045
1,2017000292,2017000045
1,2017000293,2017000045
1,2017000294,2017000045
1,2017000295,2017000046
2,2017000296,2017000046
2,2017000297,2017000046
1,2017000298,2017000046
1,2017000299,2017000046
1,2017000300,2017000046
1,2017000301,2017000046
1,2017000302,2017000047
2,2017000303,2017000047
2,2017000304,2017000047
1,2017000305,2017000047
1,2017000306,2017000047
1,2017000307,2017000047
1,2017000308,2017000047
1,2017000309,2017000048
2,2017000310,2017000048
2,2017000311,2017000048
1,2017000312,2017000048
1,2017000313,2017000048
1,2017000314,2017000048
1,2017000315,2017000048
1,2017000316,2017000049
2,2017000317,2017000049
2,2017000318,2017000049
1,2017000319,2017000049
1,2017000320,2017000049
1,2017000321,2017000049
1,2017000322,2017000049
1,2017000323,2017000050
2,2017000324,2017000050
2,2017000325,2017000050
1,2017000326,2017000050
1,2017000327,2017000050
1,2017000328,2017000050
1,2017000329,2017000050
1,2017000330,2017000051
1,2017000331,2017000051
1,2017000332,2017000051
1,2017004292,2017000666
1,2017004293,2017000666
2,2017004294,2017000666
2,2017004295,2017000666
1,2017004296,2017000666
1,2017004297,2017000666
1,2017004298,2017000666
1,2017004299,2017000667
1,2017004300,2017000667
2,2017004301,2017000667
2,2017004302,2017000667
1,2017004303,2017000667
1,2017004304,2017000667
1,2017004305,2017000667
2,2017004306,2017000671
1,2017004307,2017000671
1,2017004308,2017000671
1,2017004309,2017000671
1,2017004310,2017000671
1,2017004311,2017000671
2,2017004312,2017000671
1,2017004313,2017000672
1,2017004314,2017000672
1,2017004315,2017000672
2,2017004316,2017000672
2,2017004317,2017000672
1,2017004318,2017000672
1,2017004319,2017000672
1,2017004320,2017000673
2,2017004321,2017000673
2,2017004322,2017000673
1,2017004323,2017000673
1,2017004324,2017000673
1,2017004325,2017000673
1,2017004326,2017000673
1,2017004327,2017000674
2,2017004328,2017000674
2,2017004329,2017000674
1,2017004330,2017000674
1,2017004331,2017000674
1,2017004332,2017000674
1,2017004333,2017000674
1,2017004334,2017000677
1,2017004335,2017000677
1,2017004336,2017000677
1,2017004337,2017000677
1,2017004338,2017000677
2,2017004339,2017000677
2,2017004340,2017000677
1,2017004341,2017000678
1,2017004342,2017000678
1,2017004343,2017000678
1,2017004344,2017000678
1,2017004345,2017000678
1,2017010854,2017001677
1,2017010855,2017001677
2,2017010856,2017001677
2,2017010857,2017001677
2,2017010858,2017001678
2,2017010859,2017001678
1,2017010860,2017001678
1,2017010861,2017001678
1,2017010862,2017001678
1,2017010863,2017001678
1,2017010864,2017001678
1,2017010865,2017001679
2,2017010866,2017001679
2,2017010867,2017001679
1,2017010868,2017001679
1,2017010869,2017001679
1,2017010870,2017001679
1,2017010871,2017001679
1,2017010872,2017001680
2,2017010873,2017001680
2,2017010874,2017001680
1,2017010875,2017001680
1,2017010876,2017001680
1,2017010877,2017001680
1,2017010878,2017001680
1,2017010879,2017001681
2,2017010880,2017001681
2,2017010881,2017001681
1,2017010882,2017001681
1,2017010883,2017001681
1,2017010884,2017001681
1,2017010885,2017001681
1,2017010886,2017001682
2,2017010887,2017001682
2,2017010888,2017001682
1,2017010889,2017001682
1,2017010890,2017001682
1,2017010891,2017001682
1,2017010892,2017001682
1,2017010893,2017001683
1,2017010894,2017001683
1,2017010895,2017001683
2,2017010896,2017001683
2,2017010897,2017001683
1,2017010898,2017001683
1,2017010899,2017001683
1,2017010900,2017001684
1,2017010901,2017001684
1,2017010902,2017001684
2,2017010903,2017001684
2,2017010904,2017001684
1,2017010905,2017001684
1,2017010906,2017001684
1,2017010907,2017001687
2,2017000333,2017000051
2,2017000334,2017000051
1,2017000335,2017000051
1,2017000336,2017000051
1,2017000337,2017000052
2,2017000338,2017000052
2,2017000339,2017000052
1,2017000340,2017000052
1,2017000341,2017000052
1,2017000342,2017000052
1,2017000343,2017000052
1,2017000344,2017000053
2,2017000345,2017000053
