HouseholdID,SurveyYear,TWSWeek,HHIncome2002_B02ID,HHIncOrig_B01ID,HHoldCountry_B01ID,HHoldNumAdults,HHoldNumChildren,NumVehicles,StationKmTRACC,WalkRailAlt_B01ID,HRPWorkStat_B02ID,HRPSEGWorkStat_B01ID,BusStandard_B01ID,Total_people,Income_per_person,Income_dollars
2002000523,2002,6,1.0,1,1,2,4,2.0,-10.0,-9,1,3,1,6,4166.666666666667,25000.0
2002000525,2002,3,1.0,1,1,2,3,2.0,-10.0,-9,1,3,1,5,5000.0,25000.0
2002000531,2002,6,1.0,1,1,2,1,1.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
2002000538,2002,5,1.0,1,1,3,1,2.0,-10.0,-9,1,2,1,4,6250.0,25000.0
2002000539,2002,5,1.0,3,1,1,2,0.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002000542,2002,6,1.0,1,1,4,0,1.0,-10.0,-9,1,2,1,4,6250.0,25000.0
2002000559,2002,5,1.0,1,1,2,1,0.0,-10.0,-9,4,4,1,3,8333.333333333334,25000.0
2002000563,2002,6,1.0,1,1,2,1,1.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
2002000569,2002,3,1.0,1,1,2,2,1.0,-10.0,-9,1,2,1,4,6250.0,25000.0
2002000573,2002,4,1.0,1,1,2,1,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002000575,2002,4,1.0,1,1,2,5,0.0,-10.0,-9,4,6,1,7,3571.4285714285716,25000.0
2002000581,2002,6,1.0,1,1,2,3,1.0,-10.0,-9,2,3,1,5,5000.0,25000.0
2002000587,2002,4,1.0,1,1,2,1,1.0,-10.0,-9,1,2,2,3,8333.333333333334,25000.0
2002000599,2002,3,1.0,3,1,1,3,0.0,-10.0,-9,4,6,1,4,6250.0,25000.0
2002000600,2002,3,1.0,1,1,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002000608,2002,5,1.0,3,1,1,4,1.0,-10.0,-9,4,6,1,5,5000.0,25000.0
2002000611,2002,4,1.0,1,1,3,0,2.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000612,2002,3,1.0,1,1,3,1,1.0,-10.0,-9,1,2,1,4,6250.0,25000.0
2002000618,2002,4,1.0,1,1,3,0,1.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000621,2002,3,1.0,1,1,3,1,1.0,-10.0,-9,1,2,1,4,6250.0,25000.0
2002000624,2002,3,1.0,1,1,2,1,1.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000625,2002,3,1.0,3,1,1,3,1.0,-10.0,-9,4,6,1,4,6250.0,25000.0
2002000630,2002,6,1.0,3,1,2,1,2.0,-10.0,3,1,1,1,3,8333.333333333334,25000.0
2002000634,2002,5,1.0,1,1,2,1,1.0,-10.0,3,1,4,1,3,8333.333333333334,25000.0
2002000648,2002,4,1.0,1,2,2,1,0.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000649,2002,3,1.0,1,2,3,0,3.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000658,2002,3,1.0,1,2,2,2,1.0,-10.0,-9,2,4,1,4,6250.0,25000.0
2002000662,2002,4,1.0,3,2,1,2,0.0,-10.0,-9,2,2,1,3,8333.333333333334,25000.0
2002000665,2002,3,1.0,1,2,2,1,0.0,-10.0,-9,1,4,1,3,8333.333333333334,25000.0
2002000669,2002,5,1.0,1,2,2,3,2.0,-10.0,-9,1,3,1,5,5000.0,25000.0
2002000671,2002,2,1.0,1,2,2,1,1.0,-10.0,-9,4,3,1,3,8333.333333333334,25000.0
2002000680,2002,5,1.0,3,2,2,2,2.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002000688,2002,4,1.0,1,3,3,0,2.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002000691,2002,3,1.0,1,3,2,1,1.0,-10.0,-9,1,4,1,3,8333.333333333334,25000.0
2002000697,2002,5,1.0,3,3,2,1,2.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000701,2002,3,1.0,1,3,3,0,0.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000711,2002,5,1.0,3,3,1,2,2.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000725,2002,2,1.0,1,3,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002000735,2002,4,1.0,3,3,1,2,1.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000737,2002,3,1.0,1,3,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002000741,2002,3,1.0,1,3,2,2,0.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002000748,2002,2,1.0,1,3,2,2,3.0,-10.0,-9,3,5,1,4,6250.0,25000.0
2002000751,2002,5,1.0,1,3,2,1,1.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002000752,2002,3,1.0,3,3,6,2,1.0,-10.0,-9,3,5,1,8,3125.0,25000.0
2002000759,2002,2,1.0,1,3,2,1,1.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000760,2002,9,1.0,3,1,2,3,2.0,-10.0,-9,1,1,1,5,5000.0,25000.0
2002000769,2002,8,1.0,1,1,2,1,0.0,-10.0,1,1,2,1,3,8333.333333333334,25000.0
2002000773,2002,8,1.0,1,1,3,0,2.0,-10.0,2,3,5,1,3,8333.333333333334,25000.0
2002000777,2002,8,1.0,3,1,2,2,0.0,-10.0,2,4,6,1,4,6250.0,25000.0
2002000779,2002,9,1.0,3,1,4,0,0.0,-10.0,1,4,6,1,4,6250.0,25000.0
2002000780,2002,8,1.0,1,1,2,2,0.0,-10.0,-9,4,6,1,4,6250.0,25000.0
2002000785,2002,9,1.0,1,1,2,3,1.0,-10.0,-9,4,3,1,5,5000.0,25000.0
2002000786,2002,7,1.0,1,1,2,3,2.0,-10.0,-9,2,4,1,5,5000.0,25000.0
2002000788,2002,8,1.0,1,1,2,1,1.0,-10.0,2,1,3,1,3,8333.333333333334,25000.0
2002000802,2002,7,1.0,1,1,2,2,1.0,-10.0,-9,1,4,1,4,6250.0,25000.0
2002000811,2002,9,1.0,1,1,2,1,2.0,-10.0,-9,1,4,1,3,8333.333333333334,25000.0
2002000812,2002,7,1.0,3,1,1,2,0.0,-10.0,4,4,6,1,3,8333.333333333334,25000.0
2002000814,2002,8,2.0,1,1,3,3,2.0,-10.0,-9,1,3,1,6,8333.333333333334,50000.0
2002000817,2002,9,1.0,3,1,1,4,0.0,-10.0,-9,4,6,1,5,5000.0,25000.0
2002000832,2002,7,1.0,1,1,2,2,0.0,-10.0,3,4,6,1,4,6250.0,25000.0
2002000837,2002,7,1.0,3,1,1,5,0.0,-10.0,3,4,6,1,6,4166.666666666667,25000.0
2002000840,2002,9,1.0,1,1,7,1,1.0,-10.0,2,3,5,1,8,3125.0,25000.0
2002000843,2002,11,1.0,1,1,3,0,1.0,-10.0,2,3,5,1,3,8333.333333333334,25000.0
2002000846,2002,8,1.0,1,1,2,1,1.0,-10.0,1,1,1,1,3,8333.333333333334,25000.0
2002000862,2002,10,1.0,1,1,2,1,0.0,-10.0,-9,4,4,1,3,8333.333333333334,25000.0
2002000891,2002,8,1.0,3,1,1,2,0.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000895,2002,9,1.0,3,1,1,3,1.0,-10.0,-9,1,2,-8,4,6250.0,25000.0
2002000898,2002,7,1.0,3,1,3,0,2.0,-10.0,-9,3,5,2,3,8333.333333333334,25000.0
2002000899,2002,7,1.0,1,1,3,0,1.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000905,2002,9,1.0,3,1,2,1,2.0,-10.0,-9,4,2,1,3,8333.333333333334,25000.0
2002000928,2002,8,1.0,3,1,1,2,1.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000938,2002,9,1.0,1,1,2,3,3.0,-10.0,-9,1,4,-8,5,5000.0,25000.0
2002000941,2002,8,1.0,3,1,1,2,1.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002000955,2002,8,1.0,3,1,2,2,3.0,-10.0,-9,4,6,2,4,6250.0,25000.0
2002000965,2002,8,1.0,1,1,2,1,2.0,-10.0,-9,1,3,2,3,8333.333333333334,25000.0
2002000968,2002,7,1.0,1,1,2,1,1.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000970,2002,8,1.0,1,1,3,2,1.0,-10.0,-9,1,4,1,5,5000.0,25000.0
2002000996,2002,8,1.0,1,1,2,2,1.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002001003,2002,7,1.0,1,1,2,2,1.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002001028,2002,8,1.0,1,1,2,2,2.0,-10.0,-9,2,2,1,4,6250.0,25000.0
2002001031,2002,11,1.0,1,1,2,6,1.0,-10.0,-9,1,2,2,8,3125.0,25000.0
2002001035,2002,8,1.0,1,1,3,2,2.0,-10.0,-9,2,2,2,5,5000.0,25000.0
2002001036,2002,7,1.0,1,1,3,0,2.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002001058,2002,8,1.0,1,1,2,1,2.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002001061,2002,9,1.0,3,1,1,2,1.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002001062,2002,8,1.0,3,1,3,0,1.0,-10.0,-9,3,5,-8,3,8333.333333333334,25000.0
2002001064,2002,8,1.0,1,1,2,2,1.0,-10.0,-9,1,4,1,4,6250.0,25000.0
2002001066,2002,9,1.0,3,1,1,2,0.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002001067,2002,9,1.0,3,1,1,2,0.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002001073,2002,11,1.0,1,1,2,2,2.0,-10.0,-9,1,1,1,4,6250.0,25000.0
